Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_m,dy_male,var_m,se_m,cv_m,se2_m,moe_m,sample_f,dy_female,var_f,se_f,cv_f,se2_f,moe_f,S_male,S_female,MOE_Smale,MOE_Sfemale
46140,"Tulsa, OK",20-24, 164 ,6590.78461,399237.78180,631.85266,0.09587,399237.78180,1039.39762,70.00000,2916.61558,199042.57640,446.14188,0.15297,199042.57640,733.90339,94.00000,3674.16903,125501.18069,354.26146,0.09642,125501.18069,582.76010,0.44253,0.55747,0.08677,0.00943
46520,"Urban Honolulu, HI",16-19, 47 ,1428.14589,79879.75580,282.63007,0.19790,79879.75580,464.92646,24.00000,741.87804,36793.51535,191.81636,0.25856,36793.51535,315.53791,23.00000,686.26785,26061.04835,161.43435,0.23524,26061.04835,265.55950,0.51947,0.48053,0.14219,0.10052
46520,"Urban Honolulu, HI",20-24, 127 ,5439.17474,226069.09098,475.46723,0.08742,226069.09098,782.14360,52.00000,2734.03911,167572.69534,409.35644,0.14973,167572.69534,673.39134,75.00000,2705.13563,136135.59569,368.96558,0.13639,136135.59569,606.94837,0.50266,0.49734,0.10051,0.08566
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",16-19, 88 ,3977.61517,262685.96974,512.52899,0.12885,262685.96974,843.11020,47.00000,2179.03334,136749.91321,369.79712,0.16971,136749.91321,608.31627,41.00000,1798.58183,130269.27111,360.92835,0.20067,130269.27111,593.72713,0.54782,0.45218,0.09953,0.11443
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",20-24, 234 ,10623.97788,600477.14383,774.90460,0.07294,600477.14383,1274.71807,83.00000,3989.16566,228077.63626,477.57474,0.11972,228077.63626,785.61045,151.00000,6634.81222,351913.79203,593.22322,0.08941,351913.79203,975.85220,0.37549,0.62451,0.05864,0.05313
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",16-19, 178 ,8451.66913,567967.58458,753.63624,0.08917,567967.58458,1239.73162,88.00000,4340.53598,309461.58541,556.29272,0.12816,309461.58541,915.10152,90.00000,4111.13315,244408.62646,494.37701,0.12025,244408.62646,813.25018,0.51357,0.48643,0.07777,0.06456
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20-24, 468 ,20892.32395,1752765.51790,1323.92051,0.06337,1752765.51790,2177.84924,215.00000,9386.06921,641325.31144,800.82789,0.08532,641325.31144,1317.36188,253.00000,11506.25474,729090.02459,853.86769,0.07421,729090.02459,1404.61234,0.44926,0.55074,0.04222,0.03499
48620,"Wichita, KS",16-19, 22 ,1286.54648,95381.86582,308.83955,0.24005,95381.86582,508.04105,14.00000,811.88744,65075.55862,255.09912,0.31421,65075.55862,419.63804,8.00000,474.65904,36028.26775,189.81114,0.39989,36028.26775,312.23932,0.63106,0.36894,0.21045,0.19410
48620,"Wichita, KS",20-24, 63 ,3358.37886,272743.11358,522.24813,0.15551,272743.11358,859.09818,23.00000,1300.04218,84135.77078,290.06167,0.22312,84135.77078,477.15144,40.00000,2058.33668,153344.38241,391.59211,0.19025,153344.38241,644.16902,0.38710,0.61290,0.10188,0.11050
49180,"Winston-Salem, NC",16-19, 41 ,2297.11627,189924.31387,435.80307,0.18972,189924.31387,716.89605,24.00000,1321.57809,88246.23186,297.06267,0.22478,88246.23186,488.66810,17.00000,975.53818,58245.30527,241.34064,0.24739,58245.30527,397.00536,0.57532,0.42468,0.11409,0.11092
49180,"Winston-Salem, NC",20-24, 132 ,6495.71288,405361.16715,636.67980,0.09802,405361.16715,1047.33827,60.00000,3091.60475,195544.49262,442.20413,0.14303,195544.49262,727.42579,72.00000,3404.10813,212467.26178,460.94171,0.13541,212467.26178,758.24912,0.47595,0.52405,0.08156,0.08054
49340,"Worcester, MA-CT",16-19, 29 ,1221.89844,57388.97042,239.55995,0.19606,57388.97042,394.07612,16.00000,762.55369,41985.49069,204.90361,0.26871,41985.49069,337.06644,13.00000,459.34475,17209.48120,131.18491,0.28559,17209.48120,215.79918,0.62407,0.37593,0.18864,0.12842
49340,"Worcester, MA-CT",20-24, 79 ,4276.69849,244019.93070,493.98374,0.11551,244019.93070,812.60324,44.00000,2594.87928,161720.31126,402.14464,0.15498,161720.31126,661.52793,35.00000,1681.81921,68407.52727,261.54833,0.15552,68407.52727,430.24700,0.60675,0.39325,0.10313,0.06736
49660,"Youngstown-Warren-Boardman, OH-PA",16-19, 31 ,951.69801,43944.46987,209.62936,0.22027,43944.46987,344.84030,20.00000,594.08741,29814.55882,172.66893,0.29065,29814.55882,284.04039,11.00000,357.61060,14264.13520,119.43256,0.33397,14264.13520,196.46655,0.62424,0.37576,0.19472,0.15517
49660,"Youngstown-Warren-Boardman, OH-PA",20-24, 116 ,4543.08717,214135.31479,462.74757,0.10186,214135.31479,761.21975,53.00000,2124.70867,78292.81231,279.80853,0.13169,78292.81231,460.28503,63.00000,2418.37850,111092.04015,333.30473,0.13782,111092.04015,548.28627,0.46768,0.53232,0.06422,0.08130
