YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,RE,sample_n,EMP,var_n,se_n,cv_n,se2_n,moe_n,re_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ER,MOE_ER
2000,12540,"Bakersfield, CA",20-24,2,35,908,,,,,,Black,81,1856,,,,,,0.4892241379,
2000,12540,"Bakersfield, CA",20-24,3,556,11231,,,,,,Latino,1002,20428,,,,,,0.5497846094,
2000,12540,"Bakersfield, CA",20-24,4,32,619,,,,,,Asian,51,961,,,,,,0.6441207076,
2000,12540,"Bakersfield, CA",20-24,5,33,731,,,,,,Other,70,1541,,,,,,0.474367294,
2000,12540,"Bakersfield, CA",25-54,1,4478,94261,,,,,,White,6219,129743,,,,,,0.7265208913,
2000,12540,"Bakersfield, CA",25-54,2,317,7500,,,,,,Black,514,12075,,,,,,0.6211180124,
2000,12540,"Bakersfield, CA",25-54,3,2588,51721,,,,,,Latino,4569,89723,,,,,,0.5764519688,
2000,12540,"Bakersfield, CA",25-54,4,288,5905,,,,,,Asian,427,8701,,,,,,0.6786576256,
2000,12540,"Bakersfield, CA",25-54,5,252,5574,,,,,,Other,395,8544,,,,,,0.6523876404,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,1,1710,37557,,,,,,White,3517,76794,,,,,,0.4890616454,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,2,602,13575,,,,,,Black,1889,41992,,,,,,0.3232758621,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,3,62,1389,,,,,,Latino,153,3539,,,,,,0.3924837525,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,4,52,1197,,,,,,Asian,180,4111,,,,,,0.2911700316,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,5,50,1086,,,,,,Other,129,2873,,,,,,0.3780020884,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,1,2810,64620,,,,,,White,3670,84794,,,,,,0.7620822228,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,2,1027,25990,,,,,,Black,1751,43914,,,,,,0.5918385936,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,3,161,4017,,,,,,Latino,216,5389,,,,,,0.7454073112,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,4,121,2657,,,,,,Asian,231,5381,,,,,,0.4937743914,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,5,106,2575,,,,,,Other,142,3350,,,,,,0.7686567164,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,1,29401,625777,,,,,,White,35180,749340,,,,,,0.8351042251,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,2,8638,202787,,,,,,Black,12282,289452,,,,,,0.7005893896,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,3,740,17731,,,,,,Latino,974,23217,,,,,,0.763707628,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,4,1126,25708,,,,,,Asian,1514,34904,,,,,,0.7365344946,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,5,603,13692,,,,,,Other,813,18525,,,,,,0.7391093117,
2000,12940,"Baton Rouge, LA",16-19,1,554,11622,,,,,,White,1316,27058,,,,,,0.4295217681,
2000,12940,"Baton Rouge, LA",16-19,2,225,5139,,,,,,Black,863,18019,,,,,,0.2851989567,
2000,12940,"Baton Rouge, LA",16-19,3,18,436,,,,,,Latino,44,982,,,,,,0.4439918534,
2000,12940,"Baton Rouge, LA",16-19,4,14,373,,,,,,Asian,39,991,,,,,,0.3763874874,
2000,12940,"Baton Rouge, LA",16-19,5,10,251,,,,,,Other,27,586,,,,,,0.4283276451,
2000,12940,"Baton Rouge, LA",20-24,1,1078,26034,,,,,,White,1531,36877,,,,,,0.7059684898,
2000,12940,"Baton Rouge, LA",20-24,2,480,12308,,,,,,Black,842,20950,,,,,,0.5874940334,
2000,12940,"Baton Rouge, LA",20-24,3,27,675,,,,,,Latino,43,1070,,,,,,0.6308411215,
2000,12940,"Baton Rouge, LA",20-24,4,26,757,,,,,,Asian,50,1431,,,,,,0.5290006988,
2000,12940,"Baton Rouge, LA",20-24,5,21,490,,,,,,Other,32,740,,,,,,0.6621621622,
2000,12940,"Baton Rouge, LA",25-54,1,6979,152406,,,,,,White,8830,190637,,,,,,0.7994565588,
2000,12940,"Baton Rouge, LA",25-54,2,2746,60821,,,,,,Black,4240,91915,,,,,,0.6617091878,
2000,12940,"Baton Rouge, LA",25-54,3,147,3466,,,,,,Latino,205,4678,,,,,,0.7409149209,
2000,12940,"Baton Rouge, LA",25-54,4,121,2999,,,,,,Asian,175,4302,,,,,,0.6971176197,
2000,12940,"Baton Rouge, LA",25-54,5,108,2546,,,,,,Other,145,3385,,,,,,0.7521418021,
2000,13820,"Birmingham-Hoover, AL",16-19,1,621,12552,,,,,,White,1689,32976,,,,,,0.3806404658,
2000,13820,"Birmingham-Hoover, AL",16-19,2,217,5189,,,,,,Black,824,18750,,,,,,0.2767466667,
2000,13820,"Birmingham-Hoover, AL",16-19,3,30,672,,,,,,Latino,66,1322,,,,,,0.5083207262,
2000,13820,"Birmingham-Hoover, AL",16-19,4,,,,,,,,Asian,18,295,,,,,,,
2000,13820,"Birmingham-Hoover, AL",16-19,5,13,281,,,,,,Other,33,729,,,,,,0.3854595336,
2000,13820,"Birmingham-Hoover, AL",20-24,1,1234,27493,,,,,,White,1802,39036,,,,,,0.7042985962,
2000,13820,"Birmingham-Hoover, AL",20-24,2,500,12719,,,,,,Black,872,22002,,,,,,0.5780838106,
2000,13820,"Birmingham-Hoover, AL",20-24,3,62,1246,,,,,,Latino,97,1962,,,,,,0.6350662589,
2000,13820,"Birmingham-Hoover, AL",20-24,4,8,154,,,,,,Asian,24,546,,,,,,0.2820512821,
2000,13820,"Birmingham-Hoover, AL",20-24,5,18,403,,,,,,Other,30,660,,,,,,0.6106060606,
2000,13820,"Birmingham-Hoover, AL",25-54,1,11149,238018,,,,,,White,14337,301507,,,,,,0.7894277745,
2000,13820,"Birmingham-Hoover, AL",25-54,2,3322,77878,,,,,,Black,4988,115904,,,,,,0.6719181391,
2000,13820,"Birmingham-Hoover, AL",25-54,3,227,5256,,,,,,Latino,335,7554,,,,,,0.6957903098,
2000,13820,"Birmingham-Hoover, AL",25-54,4,119,2884,,,,,,Asian,190,4265,,,,,,0.6762016413,
2000,13820,"Birmingham-Hoover, AL",25-54,5,147,3366,,,,,,Other,203,4331,,,,,,0.7771877165,
2000,14260,"Boise City, ID",16-19,1,404,10549,,,,,,White,789,20378,,,,,,0.5176661105,
2000,14260,"Boise City, ID",16-19,2,,,,,,,,Black,5,138,,,,,,,
2000,14260,"Boise City, ID",16-19,3,59,1249,,,,,,Latino,143,3019,,,,,,0.41371315,
2000,14260,"Boise City, ID",16-19,4,6,130,,,,,,Asian,15,312,,,,,,0.4166666667,
2000,14260,"Boise City, ID",16-19,5,12,324,,,,,,Other,32,847,,,,,,0.3825265643,
2000,14260,"Boise City, ID",20-24,1,723,21216,,,,,,White,917,26820,,,,,,0.7910514541,
2000,14260,"Boise City, ID",20-24,2,,,,,,,,Black,5,139,,,,,,,
2000,14260,"Boise City, ID",20-24,3,98,2359,,,,,,Latino,157,3726,,,,,,0.6331186259,
2000,14260,"Boise City, ID",20-24,4,8,186,,,,,,Asian,15,387,,,,,,0.480620155,
2000,14260,"Boise City, ID",20-24,5,24,726,,,,,,Other,33,951,,,,,,0.7634069401,
2000,14260,"Boise City, ID",25-54,1,5041,137565,,,,,,White,6064,164870,,,,,,0.8343846667,
2000,14260,"Boise City, ID",25-54,2,18,515,,,,,,Black,23,699,,,,,,0.7367668097,
2000,14260,"Boise City, ID",25-54,3,437,9928,,,,,,Latino,595,13490,,,,,,0.7359525574,
2000,14260,"Boise City, ID",25-54,4,87,2418,,,,,,Asian,117,3234,,,,,,0.7476808905,
2000,14260,"Boise City, ID",25-54,5,146,3628,,,,,,Other,190,4647,,,,,,0.7807187433,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,1,3845,81687,,,,,,White,8094,169244,,,,,,0.482658174,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,2,246,4924,,,,,,Black,778,15929,,,,,,0.3091217277,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,3,389,8198,,,,,,Latino,1081,21700,,,,,,0.3777880184,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,4,214,4047,,,,,,Asian,662,12866,,,,,,0.3145499767,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,5,176,3772,,,,,,Other,432,8978,,,,,,0.4201381154,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,1,6974,156594,,,,,,White,9339,209578,,,,,,0.7471872048,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,2,432,9066,,,,,,Black,763,16644,,,,,,0.5447007931,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,3,786,16870,,,,,,Latino,1335,28027,,,,,,0.6019195776,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,4,479,10218,,,,,,Asian,936,20363,,,,,,0.5017924667,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,5,346,7046,,,,,,Other,542,11158,,,,,,0.6314751748,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,1,66536,1418270,,,,,,White,79754,1699132,,,,,,0.8347026599,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,2,3459,75400,,,,,,Black,4941,107565,,,,,,0.7009715056,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,3,3731,79083,,,,,,Latino,5824,122373,,,,,,0.6462454953,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,4,3432,74934,,,,,,Asian,4750,103065,,,,,,0.7270557415,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,5,1781,38594,,,,,,Other,2457,52787,,,,,,0.731126982,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,1,446,9228,,,,,,White,1227,24812,,,,,,0.3719168144,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,2,70,1594,,,,,,Black,225,4999,,,,,,0.3188637728,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,3,144,3070,,,,,,Latino,348,7038,,,,,,0.4362034669,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,4,17,323,,,,,,Asian,64,1345,,,,,,0.2401486989,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,5,24,645,,,,,,Other,56,1352,,,,,,0.4770710059,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,1,777,16948,,,,,,White,1107,24271,,,,,,0.6982819002,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,2,145,3674,,,,,,Black,231,5663,,,,,,0.6487727353,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,3,294,6591,,,,,,Latino,457,10270,,,,,,0.6417721519,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,4,35,808,,,,,,Asian,70,1587,,,,,,0.509136736,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,5,54,1024,,,,,,Other,85,1640,,,,,,0.6243902439,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,1,11512,232638,,,,,,White,14164,285625,,,,,,0.8144875274,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,2,1132,26073,,,,,,Black,1533,34998,,,,,,0.7449854277,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,3,1528,33274,,,,,,Latino,2254,48838,,,,,,0.6813137311,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,4,478,11212,,,,,,Asian,643,14929,,,,,,0.7510215018,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,5,326,6990,,,,,,Other,416,8910,,,,,,0.7845117845,
