YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR
2000,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",16-19,1103,22047,,,,,,4982,103964,,,,,,0.2120637913,
2000,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",20-24,1052,22705,,,,,,8871,194055,,,,,,0.1170029115,
2000,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",25-54,4115,88381,,,,,,76353,1643645,,,,,,0.0537713436,
2000,33340,"Milwaukee-Waukesha-West Allis, WI",16-19,232,7328,,,,,,1756,51127,,,,,,0.1433293563,
2000,33340,"Milwaukee-Waukesha-West Allis, WI",20-24,220,7240,,,,,,2477,77837,,,,,,0.0930148901,
2000,33340,"Milwaukee-Waukesha-West Allis, WI",25-54,701,21283,,,,,,18154,548553,,,,,,0.0387984388,
2000,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",16-19,418,10816,,,,,,3676,96672,,,,,,0.1118834823,
2000,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",20-24,349,9158,,,,,,5305,155664,,,,,,0.0588318429,
2000,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",25-54,1160,32007,,,,,,41415,1170286,,,,,,0.0273497248,
2000,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",16-19,316,7175,,,,,,1912,42690,,,,,,0.168072148,
2000,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",20-24,272,6406,,,,,,3075,73853,,,,,,0.0867398752,
2000,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",25-54,695,16213,,,,,,23108,522023,,,,,,0.0310580185,
2000,35300,"New Haven-Milford, CT",16-19,234,4956,,,,,,1042,22089,,,,,,0.2243650686,
2000,35300,"New Haven-Milford, CT",20-24,256,5493,,,,,,1728,38690,,,,,,0.1419746705,
2000,35300,"New Haven-Milford, CT",25-54,574,12547,,,,,,13918,298788,,,,,,0.041992985,
2000,35380,"New Orleans-Metairie, LA",16-19,350,7746,,,,,,1529,34156,,,,,,0.2267829957,
2000,35380,"New Orleans-Metairie, LA",20-24,336,8410,,,,,,2708,66557,,,,,,0.1263578587,
2000,35380,"New Orleans-Metairie, LA",25-54,1030,23703,,,,,,19703,454519,,,,,,0.0521496351,
2000,35620,"New York-Newark-Jersey City, NY-NJ-PA",16-19,3594,81658,,,,,,16573,358539,,,,,,0.2277520716,
2000,35620,"New York-Newark-Jersey City, NY-NJ-PA",20-24,4480,109064,,,,,,35590,821499,,,,,,0.1327621823,
2000,35620,"New York-Newark-Jersey City, NY-NJ-PA",25-54,15529,358657,,,,,,296487,6538344,,,,,,0.0548544096,
2000,35840,"North Port-Sarasota-Bradenton, FL",16-19,73,1523,,,,,,612,11872,,,,,,0.1282850404,
2000,35840,"North Port-Sarasota-Bradenton, FL",20-24,47,1025,,,,,,800,17277,,,,,,0.0593274295,
2000,35840,"North Port-Sarasota-Bradenton, FL",25-54,238,5085,,,,,,8123,169688,,,,,,0.0299667625,
2000,36260,"Ogden-Clearfield, UT",16-19,142,3150,,,,,,856,19640,,,,,,0.1603869654,
2000,36260,"Ogden-Clearfield, UT",20-24,88,2116,,,,,,1253,30802,,,,,,0.0686968379,
2000,36260,"Ogden-Clearfield, UT",25-54,181,4375,,,,,,5965,140256,,,,,,0.0311929614,
2000,36420,"Oklahoma City, OK",16-19,228,5446,,,,,,1606,38167,,,,,,0.1426887101,
2000,36420,"Oklahoma City, OK",20-24,227,6047,,,,,,2573,66908,,,,,,0.0903778322,
2000,36420,"Oklahoma City, OK",25-54,522,12481,,,,,,16009,392649,,,,,,0.0317866593,
2000,36540,"Omaha-Council Bluffs, NE-IA",16-19,155,3718,,,,,,1252,31455,,,,,,0.118200604,
2000,36540,"Omaha-Council Bluffs, NE-IA",20-24,115,3119,,,,,,1656,45621,,,,,,0.0683676377,
2000,36540,"Omaha-Council Bluffs, NE-IA",25-54,354,8944,,,,,,12603,319767,,,,,,0.0279703659,
2000,36740,"Orlando-Kissimmee-Sanford, FL",16-19,346,7057,,,,,,2220,45553,,,,,,0.1549184466,
2000,36740,"Orlando-Kissimmee-Sanford, FL",20-24,292,6892,,,,,,3857,87912,,,,,,0.0783965784,
2000,36740,"Orlando-Kissimmee-Sanford, FL",25-54,966,20309,,,,,,28609,594900,,,,,,0.0341385107,
2000,37100,"Oxnard-Thousand Oaks-Ventura, CA",16-19,133,2649,,,,,,1011,19953,,,,,,0.1327619907,
2000,37100,"Oxnard-Thousand Oaks-Ventura, CA",20-24,147,2841,,,,,,1675,34855,,,,,,0.0815091092,
2000,37100,"Oxnard-Thousand Oaks-Ventura, CA",25-54,520,10794,,,,,,13016,261693,,,,,,0.0412468045,
2000,37340,"Palm Bay-Melbourne-Titusville, FL",16-19,116,2089,,,,,,721,13130,,,,,,0.1591012947,
2000,37340,"Palm Bay-Melbourne-Titusville, FL",20-24,81,1531,,,,,,812,16204,,,,,,0.0944828437,
2000,37340,"Palm Bay-Melbourne-Titusville, FL",25-54,308,5470,,,,,,8146,155094,,,,,,0.0352689337,
2000,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",16-19,1188,30029,,,,,,6238,147883,,,,,,0.2030591752,
2000,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",20-24,1193,32868,,,,,,10247,261638,,,,,,0.1256239537,
2000,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",25-54,3621,90951,,,,,,85021,2003597,,,,,,0.0453938591,
2000,38060,"Phoenix-Mesa-Scottsdale, AZ",16-19,732,14918,,,,,,4726,99523,,,,,,0.1498949991,
2000,38060,"Phoenix-Mesa-Scottsdale, AZ",20-24,659,14281,,,,,,7963,175881,,,,,,0.0811969457,
2000,38060,"Phoenix-Mesa-Scottsdale, AZ",25-54,1997,41175,,,,,,52735,1117440,,,,,,0.036847616,
2000,38300,"Pittsburgh, PA",16-19,558,12648,,,,,,2851,61518,,,,,,0.2055983615,
2000,38300,"Pittsburgh, PA",20-24,539,12304,,,,,,4513,103693,,,,,,0.1186579615,
2000,38300,"Pittsburgh, PA",25-54,1605,34274,,,,,,37339,813842,,,,,,0.0421138255,
2000,38900,"Portland-Vancouver-Hillsboro, OR-WA",16-19,469,9745,,,,,,2601,55218,,,,,,0.1764823065,
2000,38900,"Portland-Vancouver-Hillsboro, OR-WA",20-24,447,9867,,,,,,4436,102427,,,,,,0.0963320218,
2000,38900,"Portland-Vancouver-Hillsboro, OR-WA",25-54,1573,33919,,,,,,34121,755512,,,,,,0.0448953822,
2000,39300,"Providence-Warwick, RI-MA",16-19,472,9575,,,,,,2578,52036,,,,,,0.1840072258,
2000,39300,"Providence-Warwick, RI-MA",20-24,383,7739,,,,,,3660,78239,,,,,,0.0989148634,
2000,39300,"Providence-Warwick, RI-MA",25-54,1177,23616,,,,,,27306,552677,,,,,,0.0427302023,
2000,39340,"Provo-Orem, UT",16-19,149,3281,,,,,,920,19860,,,,,,0.1652064451,
2000,39340,"Provo-Orem, UT",20-24,102,2609,,,,,,1813,44653,,,,,,0.0584283251,
2000,39340,"Provo-Orem, UT",25-54,107,2583,,,,,,4471,97334,,,,,,0.0265374895,
2000,39580,"Raleigh, NC",16-19,196,3666,,,,,,1196,22639,,,,,,0.1619329476,
2000,39580,"Raleigh, NC",20-24,184,3347,,,,,,2276,45089,,,,,,0.0742309654,
2000,39580,"Raleigh, NC",25-54,503,9364,,,,,,17448,326731,,,,,,0.0286596619,
