Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_fb,dy_fb,var_fb,se_fb,cv_fb,se2_fb,moe_fb,sample_nb,dy_nb,var_nb,se_nb,cv_nb,se2_nb,moe_nb,S_FB,S_NB,MOE_Sfb,MOE_Snb
19820,"Detroit-Warren-Dearborn, MI",20-24, 621 ,36461.51850,2192660.23110,1480.76339,0.04061,2192660.23110,2435.85578,53.00000,3048.39267,311199.43935,557.85252,0.18300,311199.43935,917.66740,568.00000,33413.12584,2187688.39720,1479.08363,0.04427,2187688.39720,2433.09258,0.08361,0.91639,0.02454,0.02655
21340,"El Paso, TX",16-19, 85 ,3613.40439,251580.69949,501.57821,0.13881,251580.69949,825.09615,17.00000,728.41013,50661.10549,225.08022,0.30900,50661.10549,370.25696,68.00000,2884.99426,165459.89121,406.76761,0.14099,165459.89121,669.13272,0.20159,0.79841,0.09155,0.03247
21340,"El Paso, TX",20-24, 207 ,9652.80158,755166.02673,869.00289,0.09003,755166.02673,1429.50976,34.00000,1519.99306,115967.59853,340.54016,0.22404,115967.59853,560.18856,173.00000,8132.80852,643018.52425,801.88436,0.09860,643018.52425,1319.09977,0.15747,0.84253,0.05314,0.05573
23420,"Fresno, CA",16-19, 113 ,4024.37545,201191.83286,448.54413,0.11146,201191.83286,737.85509,12.00000,320.37176,15449.97417,124.29793,0.38798,15449.97417,204.47009,101.00000,3704.00369,204022.82907,451.68886,0.12195,204022.82907,743.02818,0.07961,0.92039,0.04867,0.07491
23420,"Fresno, CA",20-24, 309 ,13610.89019,1033403.55240,1016.56458,0.07469,1033403.55240,1672.24874,67.00000,2798.03940,192450.53441,438.69184,0.15679,192450.53441,721.64808,242.00000,10812.85080,799995.09640,894.42445,0.08272,799995.09640,1471.32822,0.20557,0.79443,0.04662,0.04646
24340,"Grand Rapids-Wyoming, MI",16-19, 25 ,1193.74510,73956.69425,271.94980,0.22781,73956.69425,447.35742,8.00000,313.45472,14793.20630,121.62733,0.38802,14793.20630,200.07695,17.00000,880.29038,57216.64466,239.20001,0.27173,57216.64466,393.48402,0.26258,0.73742,0.13568,0.17967
24340,"Grand Rapids-Wyoming, MI",20-24, 75 ,4759.21231,382898.68001,618.78807,0.13002,382898.68001,1017.90638,10.00000,732.88259,69711.70188,264.02974,0.36026,69711.70188,434.32892,65.00000,4026.32972,360058.14232,600.04845,0.14903,360058.14232,987.07970,0.15399,0.84601,0.08511,0.10137
24660,"Greensboro-High Point, NC",16-19, 60 ,2731.66297,161345.36422,401.67818,0.14705,161345.36422,660.76061,11.00000,715.26315,39980.05885,199.95014,0.27955,39980.05885,328.91798,49.00000,2016.39981,123825.05800,351.88785,0.17451,123825.05800,578.85551,0.26184,0.73816,0.10241,0.11412
24660,"Greensboro-High Point, NC",20-24, 148 ,6893.94564,410995.04177,641.08895,0.09299,410995.04177,1054.59132,17.00000,892.60913,65117.60491,255.18151,0.28588,65117.60491,419.77359,131.00000,6001.33651,353898.41465,594.89362,0.09913,353898.41465,978.60000,0.12948,0.87052,0.05758,0.04916
24860,"Greenville-Anderson-Mauldin, SC",16-19, 61 ,2371.45394,147847.53906,384.50948,0.16214,147847.53906,632.51809,,,,,,,,60.00000,2342.91044,149421.76376,386.55111,0.16499,149421.76376,635.87658,,0.98796,,0.04960
24860,"Greenville-Anderson-Mauldin, SC",20-24, 165 ,7606.38019,494770.99928,703.39960,0.09247,494770.99928,1157.09234,10.00000,395.29768,19915.74102,141.12314,0.35700,19915.74102,232.14757,155.00000,7211.08252,463206.11877,680.59248,0.09438,463206.11877,1119.57462,0.05197,0.94803,0.02948,0.02943
