Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_w,dy_white,var_w,se_w,cv_w,se2_w,moe_w,sample_b,dy_black,var_b,se_b,cv_b,se2_b,moe_b,sample_l,dy_latino,var_l,se_l,cv_l,se2_l,moe_l,sample_a,dy_asian,var_a,se_a,cv_a,se2_a,moe_a,sample_o,dy_other,var_o,se_o,cv_o,se2_o,moe_o,S_White,S_Black,S_Latino,S_Asian,S_Other,MOE_Swhite,MOE_Sblack,MOE_Slatino,MOE_Sasian,MOE_Sother
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",20-24, 821 ,38590.72519,3079282.11020,1754.78834,0.04547,3079282.11020,2886.62682,109.00000,4462.33310,261345.74462,511.21986,0.11456,261345.74462,840.95667,340.00000,16256.87679,1040129.36000,1019.86732,0.06273,1040129.36000,1677.68175,354.00000,16996.15221,1436349.62520,1198.47805,0.07051,1436349.62520,1971.49638,7.00000,316.64174,17188.63785,131.10545,0.41405,17188.63785,215.66846,11.00000,558.72135,35095.62054,187.33825,0.33530,35095.62054,308.17142,0.11563,0.42126,0.44042,0.00821,0.01448,0.02000,0.02995,0.03905,0.00555,0.00791
33340,"Milwaukee-Waukesha-West Allis, WI",16-19, 50 ,2871.99884,225165.50661,474.51608,0.16522,225165.50661,780.57895,11.00000,495.67125,32822.62048,181.17014,0.36550,32822.62048,298.02488,25.00000,1348.90779,86432.71710,293.99442,0.21795,86432.71710,483.62082,6.00000,510.01635,35391.84428,188.12720,0.36887,35391.84428,309.46925,,,,,,,,5.00000,240.28329,12252.64667,110.69167,0.46067,12252.64667,182.08780,0.17259,0.46968,0.17758,,0.08366,0.09256,0.10982,0.09634,,0.05918
33340,"Milwaukee-Waukesha-West Allis, WI",20-24, 147 ,10107.93190,917383.11748,957.80119,0.09476,917383.11748,1575.58296,32.00000,2011.74798,191741.99479,437.88354,0.21766,191741.99479,720.31842,77.00000,5564.70367,340625.08411,583.63095,0.10488,340625.08411,960.07291,26.00000,1952.51133,139699.03588,373.76334,0.19143,139699.03588,614.84070,,,,,,,,8.00000,390.50921,24697.45020,157.15422,0.40243,24697.45020,258.51870,0.19903,0.55053,0.19317,,0.03863,0.06416,0.04071,0.05285,,0.02486
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",16-19, 60 ,3535.72559,180818.35071,425.22741,0.12027,180818.35071,699.49909,24.00000,1322.29794,73030.49129,270.24154,0.20437,73030.49129,444.54734,14.00000,1248.84493,136246.68519,369.11609,0.29557,136246.68519,607.19596,11.00000,506.21380,28960.95162,170.17918,0.33618,28960.95162,279.94474,,,,,,,,7.00000,259.11054,16316.88450,127.73756,0.49298,16316.88450,210.12829,0.37398,0.35321,0.14317,,0.07328,0.10166,0.15687,0.07394,,0.05763
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",20-24, 212 ,16271.81979,1548147.22590,1244.24565,0.07647,1548147.22590,2046.78409,95.00000,6245.79840,790684.16300,889.20423,0.14237,790684.16300,1462.74096,42.00000,4138.58857,503311.52893,709.44452,0.17142,503311.52893,1167.03624,37.00000,3476.51417,244363.90720,494.33178,0.14219,244363.90720,813.17578,23.00000,1528.69225,104028.20102,322.53403,0.21099,104028.20102,530.56848,15.00000,882.22640,106287.56624,326.01774,0.36954,106287.56624,536.29918,0.38384,0.25434,0.21365,0.09395,0.05422,0.07583,0.06419,0.04213,0.03039,0.03225
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",16-19, 106 ,4290.33398,193387.62315,439.75860,0.10250,193387.62315,723.40289,56.00000,1960.78053,81314.15316,285.15637,0.14543,81314.15316,469.08222,31.00000,1417.43180,98486.66920,313.82586,0.22140,98486.66920,516.24354,14.00000,675.97204,34693.94036,186.26309,0.27555,34693.94036,306.40279,,,,,,,,5.00000,236.14960,10485.93905,102.40087,0.43363,10485.93905,168.44944,0.45702,0.33038,0.15756,,0.05504,0.07756,0.10666,0.06629,,0.03815
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",20-24, 288 ,12743.04100,566428.11271,752.61419,0.05906,566428.11271,1238.05034,169.00000,6561.68750,223822.59380,473.09893,0.07210,223822.59380,778.24773,67.00000,3709.14759,225188.46862,474.54027,0.12794,225188.46862,780.61875,40.00000,2017.08983,89633.05745,299.38780,0.14843,89633.05745,492.49294,,,,,,,,10.00000,400.01263,21084.89122,145.20637,0.36300,21084.89122,238.86449,0.51492,0.29107,0.15829,,0.03139,0.03503,0.05434,0.03546,,0.01849
35300,"New Haven-Milford, CT",16-19, 33 ,1423.99214,91307.62976,302.17152,0.21220,91307.62976,497.07216,8.00000,303.60006,15197.50418,123.27816,0.40605,15197.50418,202.79257,8.00000,440.78087,30519.67106,174.69880,0.39634,30519.67106,287.37953,17.00000,679.61122,38982.77931,197.44057,0.29052,38982.77931,324.78974,,,,,,,,,,,,,,,0.21320,0.30954,0.47726,,,0.12142,0.17045,0.15578,,
35300,"New Haven-Milford, CT",20-24, 93 ,5223.85924,432533.76417,657.67299,0.12590,432533.76417,1081.87207,28.00000,1060.02600,70901.25316,266.27289,0.25119,70901.25316,438.01891,24.00000,1230.07317,67402.88167,259.62065,0.21106,67402.88167,427.07597,38.00000,2695.69503,267491.44514,517.19575,0.19186,267491.44514,850.78701,,,,,,,,,,,,,,,0.20292,0.23547,0.51604,,,0.07256,0.06562,0.12290,,
35380,"New Orleans-Metairie, LA",16-19, 79 ,2931.97996,130478.85248,361.21857,0.12320,130478.85248,594.20454,25.00000,997.40047,71269.51226,266.96350,0.26766,71269.51226,439.15496,43.00000,1432.28028,53387.15381,231.05660,0.16132,53387.15381,380.08811,,,,,,,,,,,,,,,,,,,,,,0.34018,0.48850,,,,0.13297,0.08369,,,
