YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,SEX,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,sex_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR
2000,28140,"Kansas City, MO-KS",25-54,Female,405,10050,,,,,,Female,12482,303255,,,,,,0.0331404264,
2000,28940,"Knoxville, TN",16-19,Male,98,2036,,,,,,Male,575,11464,,,,,,0.1775994417,
2000,28940,"Knoxville, TN",16-19,Female,93,1745,,,,,,Female,562,10916,,,,,,0.1598570905,
2000,28940,"Knoxville, TN",20-24,Male,90,1942,,,,,,Male,1073,23622,,,,,,0.0822114978,
2000,28940,"Knoxville, TN",20-24,Female,74,1586,,,,,,Female,908,20313,,,,,,0.0780780781,
2000,28940,"Knoxville, TN",25-54,Male,259,5224,,,,,,Male,7301,150963,,,,,,0.0346045057,
2000,28940,"Knoxville, TN",25-54,Female,283,5404,,,,,,Female,6284,128629,,,,,,0.0420122989,
2000,29460,"Lakeland-Winter Haven, FL",16-19,Male,76,1473,,,,,,Male,393,8022,,,,,,0.1836200449,
2000,29460,"Lakeland-Winter Haven, FL",16-19,Female,67,1277,,,,,,Female,363,7216,,,,,,0.1769678492,
2000,29460,"Lakeland-Winter Haven, FL",20-24,Male,55,1138,,,,,,Male,534,11656,,,,,,0.0976321208,
2000,29460,"Lakeland-Winter Haven, FL",20-24,Female,56,1181,,,,,,Female,430,9430,,,,,,0.1252386002,
2000,29460,"Lakeland-Winter Haven, FL",25-54,Male,146,2757,,,,,,Male,3844,77456,,,,,,0.035594402,
2000,29460,"Lakeland-Winter Haven, FL",25-54,Female,165,3386,,,,,,Female,3449,68697,,,,,,0.0492889064,
2000,29820,"Las Vegas-Henderson-Paradise, NV",16-19,Male,173,3504,,,,,,Male,873,18064,,,,,,0.1939769708,
2000,29820,"Las Vegas-Henderson-Paradise, NV",16-19,Female,140,2741,,,,,,Female,724,14913,,,,,,0.1837993697,
2000,29820,"Las Vegas-Henderson-Paradise, NV",20-24,Male,142,3057,,,,,,Male,1686,36382,,,,,,0.0840250673,
2000,29820,"Las Vegas-Henderson-Paradise, NV",20-24,Female,180,3901,,,,,,Female,1484,31566,,,,,,0.1235823354,
2000,29820,"Las Vegas-Henderson-Paradise, NV",25-54,Male,713,14292,,,,,,Male,12442,265230,,,,,,0.0538853071,
2000,29820,"Las Vegas-Henderson-Paradise, NV",25-54,Female,571,11604,,,,,,Female,10203,215964,,,,,,0.0537311774,
2000,30780,"Little Rock-North Little Rock-Conway, AR",16-19,Male,80,1848,,,,,,Male,344,8185,,,,,,0.2257788638,
2000,30780,"Little Rock-North Little Rock-Conway, AR",16-19,Female,76,1730,,,,,,Female,355,8789,,,,,,0.1968369553,
2000,30780,"Little Rock-North Little Rock-Conway, AR",20-24,Male,72,1921,,,,,,Male,568,16356,,,,,,0.1174492541,
2000,30780,"Little Rock-North Little Rock-Conway, AR",20-24,Female,62,1442,,,,,,Female,568,15573,,,,,,0.09259616,
2000,30780,"Little Rock-North Little Rock-Conway, AR",25-54,Male,179,4347,,,,,,Male,3938,106547,,,,,,0.0407988963,
2000,30780,"Little Rock-North Little Rock-Conway, AR",25-54,Female,153,3661,,,,,,Female,3751,100052,,,,,,0.0365909727,
2000,31080,"Los Angeles-Long Beach-Anaheim, CA",16-19,Male,1696,32953,,,,,,Male,7391,145823,,,,,,0.2259794408,
2000,31080,"Los Angeles-Long Beach-Anaheim, CA",16-19,Female,1435,28004,,,,,,Female,6681,131530,,,,,,0.2129096024,
2000,31080,"Los Angeles-Long Beach-Anaheim, CA",20-24,Male,1766,36310,,,,,,Male,16080,328213,,,,,,0.1106293779,
2000,31080,"Los Angeles-Long Beach-Anaheim, CA",20-24,Female,1587,31787,,,,,,Female,13698,278838,,,,,,0.1139980921,
2000,31080,"Los Angeles-Long Beach-Anaheim, CA",25-54,Male,6334,131307,,,,,,Male,110211,2271364,,,,,,0.0578097566,
2000,31080,"Los Angeles-Long Beach-Anaheim, CA",25-54,Female,6082,124547,,,,,,Female,90976,1855147,,,,,,0.0671359197,
2000,31140,"Louisville/Jefferson County, KY-IN",16-19,Male,154,3020,,,,,,Male,934,17718,,,,,,0.1704481318,
2000,31140,"Louisville/Jefferson County, KY-IN",16-19,Female,107,2099,,,,,,Female,820,15839,,,,,,0.1325209925,
2000,31140,"Louisville/Jefferson County, KY-IN",20-24,Male,106,2240,,,,,,Male,1213,26983,,,,,,0.0830152318,
2000,31140,"Louisville/Jefferson County, KY-IN",20-24,Female,105,2243,,,,,,Female,1210,26148,,,,,,0.0857809393,
2000,31140,"Louisville/Jefferson County, KY-IN",25-54,Male,355,7263,,,,,,Male,10764,210223,,,,,,0.0345490265,
2000,31140,"Louisville/Jefferson County, KY-IN",25-54,Female,324,6671,,,,,,Female,9963,193243,,,,,,0.0345213022,
2000,31540,"Madison, WI",16-19,Male,31,819,,,,,,Male,279,7359,,,,,,0.1112922951,
2000,31540,"Madison, WI",16-19,Female,37,1098,,,,,,Female,291,7863,,,,,,0.1396413583,
