Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_lths,dy_lths,var_lths,se_lths,cv_lths,se2_lths,moe_lths,sample_hs,dy_hs,var_hs,se_hs,cv_hs,se2_hs,moe_hs,sample_sc,dy_sc,var_sc,se_sc,cv_sc,se2_sc,moe_sc,S_lths,S_hs,S_sc,MOE_Slths,MOE_Shs,MOE_Ssc
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",16-19, 178 ,8451.66913,567967.58458,753.63624,0.08917,567967.58458,1239.73162,75.00000,3332.92826,196713.24579,443.52367,0.13307,196713.24579,729.59644,88.00000,4349.45720,350368.79586,591.91959,0.13609,350368.79586,973.70772,15.00000,769.28367,41868.02758,204.61678,0.26598,41868.02758,336.59461,0.39435,0.51463,0.09102,0.06408,0.08703,0.03752
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20-24, 468 ,20892.32395,1752765.51790,1323.92051,0.06337,1752765.51790,2177.84924,123.00000,5553.50165,389232.67314,623.88514,0.11234,389232.67314,1026.29106,250.00000,10756.68423,638713.96518,799.19582,0.07430,638713.96518,1314.67713,95.00000,4582.13808,293473.79386,541.73222,0.11823,293473.79386,891.14950,0.26582,0.51486,0.21932,0.04056,0.03285,0.03601
48620,"Wichita, KS",16-19, 22 ,1286.54648,95381.86582,308.83955,0.24005,95381.86582,508.04105,13.00000,685.49862,54303.11529,233.03029,0.33994,54303.11529,383.33482,7.00000,557.38120,43372.63409,208.26098,0.37364,43372.63409,342.58931,,,,,,,,0.53282,0.43324,,0.21097,0.20406,
48620,"Wichita, KS",20-24, 63 ,3358.37886,272743.11358,522.24813,0.15551,272743.11358,859.09818,17.00000,1207.82360,127463.10475,357.01975,0.29559,127463.10475,587.29750,30.00000,1557.65214,91540.37396,302.55640,0.19424,91540.37396,497.70527,16.00000,592.90311,39512.60030,198.77777,0.33526,39512.60030,326.98943,0.35964,0.46381,0.17654,0.14872,0.08880,0.08626
49180,"Winston-Salem, NC",16-19, 41 ,2297.11627,189924.31387,435.80307,0.18972,189924.31387,716.89605,19.00000,1134.98840,85834.25875,292.97484,0.25813,85834.25875,481.94362,22.00000,1162.12786,84534.15765,290.74758,0.25019,84534.15765,478.27978,,,,,,,,0.49409,0.50591,,0.14227,0.13573,
49180,"Winston-Salem, NC",20-24, 132 ,6495.71288,405361.16715,636.67980,0.09802,405361.16715,1047.33827,36.00000,1859.91295,112007.15035,334.67469,0.17994,112007.15035,550.53987,67.00000,3197.70138,217135.64726,465.97816,0.14572,217135.64726,766.53408,29.00000,1438.09856,116112.86446,340.75338,0.23695,116112.86446,560.53931,0.28633,0.49228,0.22139,0.07108,0.08732,0.07856
49340,"Worcester, MA-CT",16-19, 29 ,1221.89844,57388.97042,239.55995,0.19606,57388.97042,394.07612,15.00000,679.32522,36893.05382,192.07565,0.28274,36893.05382,315.96444,12.00000,466.31239,19003.18529,137.85204,0.29562,19003.18529,226.76661,,,,,,,,0.55596,0.38163,,0.18632,0.13890,
49340,"Worcester, MA-CT",20-24, 79 ,4276.69849,244019.93070,493.98374,0.11551,244019.93070,812.60324,16.00000,774.25950,47582.40466,218.13391,0.28173,47582.40466,358.83029,52.00000,2942.01147,221386.01237,470.51675,0.15993,221386.01237,774.00005,11.00000,560.42752,26911.29518,164.04663,0.29272,26911.29518,269.85670,0.18104,0.68792,0.13104,0.07653,0.12518,0.05798
49660,"Youngstown-Warren-Boardman, OH-PA",16-19, 31 ,951.69801,43944.46987,209.62936,0.22027,43944.46987,344.84030,15.00000,309.29592,13594.98282,116.59752,0.37698,13594.98282,191.80293,14.00000,587.24265,29438.09665,171.57534,0.29217,29438.09665,282.24143,,,,,,,,0.32499,0.61705,,0.16355,0.19484,
49660,"Youngstown-Warren-Boardman, OH-PA",20-24, 116 ,4543.08717,214135.31479,462.74757,0.10186,214135.31479,761.21975,46.00000,1481.67208,81873.54182,286.13553,0.19312,81873.54182,470.69295,58.00000,2598.08181,146108.31113,382.24117,0.14712,146108.31113,628.78672,12.00000,463.33328,29872.50678,172.83665,0.37303,29872.50678,284.31629,0.32614,0.57188,0.10199,0.08802,0.09987,0.06020
